photographer_id,best_confidence,batch_count,batches,website_found,website_found_source,email_found,email_found_source,phone_found,phone_found_source,phone_quarantine_flag,instagram_found,instagram_found_source,facebook_found,facebook_found_source,tiktok_found,tiktok_found_source,pinterest_found,pinterest_found_source,linkedin_found,linkedin_found_source,abn_found,abn_found_source,abn_supplied_unverified,years_in_business,years_in_business_source,service_areas,service_areas_source,notes_combined,grounding_assessment,merge_tier,framing_contagion_risk
PHO-EWDIR-000014,LOW,2,"1778160890731_photographers_enriched_batch_03_rows_061_090, claude_photographers_FINAL_v2",,,,,,,,,,https://www.facebook.com/marcuscarterphotography/,claude_photographers_FINAL_v2 (LOW),,,,,,,,,,,,Winter Valley; Ballarat region VIC,1778160890731_photographers_enriched_batch_03_rows_061_090 (LOW),No own website/social located quickly. Only directory references found; no found contact fields copied. || Facebook page found. Based Winter Valley near Ballarat VIC. No own website identified.,SOURCES:2,YELLOW — 2 sources only (Claude advises caution),
PHO-EWDIR-000016,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://www.t-oneimage.com.au/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),melbourne@t-oneimage.com.au,claude_photographers_FINAL_v2 (HIGH),0477 687 776,claude_photographers_FINAL_v2 (HIGH),,https://www.instagram.com/toneimagemelbourne/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,,,,,,,10+ years,claude_photographers_FINAL_v2 (HIGH),Collingwood; Melbourne; Sydney,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),Own website located; own site references Instagram and Melbourne/Sydney service. Phone seen in non-direct source was not copied. || Own website located; own site references Instagram and Melbourne/Sydney service. Phone seen in non-direct source was not copied. || Email from IG bio and multiple sources. Phone and address from contact page. 205 Victoria Parade Collingwood VIC 3066. 24K IG followers.,PHONE:ok|EMAIL:other|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000018,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://duuet.com.au/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),info@duuet.com.au,claude_photographers_FINAL_v2 (HIGH),0457 499 358,claude_photographers_FINAL_v2 (HIGH),,https://www.instagram.com/duuetweddings/,claude_photographers_FINAL_v2 (HIGH),https://www.facebook.com/DUUET/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,,,,,10 years (200+ weddings),claude_photographers_FINAL_v2 (HIGH),South Melbourne; Melbourne; Victoria; Yarra Valley; farm and winery weddings,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),"Own website located; own Facebook profile located. Contact details not found quickly on direct source. || Own website located; own Facebook profile located. Contact details not found quickly on direct source. || Email and phone from packages page footer. Address: 294 Park St, South Melbourne VIC 3205. 23K IG followers.",PHONE:ok|EMAIL:generic_pattern|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000020,HIGH,5,"1778160665795_photographers_enriched_batch_01_rows_001_030, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_photographers_batch_02, perplexity_photographers_batch_01",https://www.kevinluephotography.com/,claude_photographers_FINAL_v2 (HIGH),hello@kevinluephotography.com,claude_photographers_FINAL_v2 (HIGH),0400 341 537,google_photographers_batch_02 (HIGH),SUSPECT — phone 0400 341 537 attributed to 10 different vendors across batches,https://www.instagram.com/kevinluephotography/,claude_photographers_FINAL_v2 (HIGH),https://www.facebook.com/kevinluephotography/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,Since 2014,claude_photographers_FINAL_v2 (HIGH),Sydney; Blue Mountains; South Coast; Central Coast; Melbourne; Brisbane; Hunter Valley; worldwide,claude_photographers_FINAL_v2 (HIGH),Not found quickly — Kevin Lue Photography Sydney not confidently located; search results did not return clear vendor-owned source. || Email from Facebook page listing. Website est. 2014 per own site. || Sydney-based. || Trading name: Kevin Lue Photography || Could not quickly confirm a unique own website for Kevin Lue Photography within timebox; likely exists but not captured in this pass.,PHONE:reject|EMAIL:generic_pattern|IG:guessable_from_name|WEB:matches_name|SOURCES:3+,YELLOW — 3+ sources but phone flagged,
PHO-EWDIR-000021,HIGH,5,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_d_inline_concatenated, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, perplexity_photographers_batch_01",https://marcobilly.com.au/,batch_d_inline_concatenated (HIGH),hello@marcobilly.com.au,batch_d_inline_concatenated (HIGH),0405 818 281,batch_d_inline_concatenated (HIGH),SUSPECT — phone 0405 818 281 attributed to 7 different vendors across batches,https://www.instagram.com/marcobilly/,batch_d_inline_concatenated (HIGH),https://www.facebook.com/marcobilly.hk,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,,,Sydney; Southern Highlands; Hong Kong,claude_photographers_FINAL_v2 (HIGH),"Direct Instagram bio/posts provide website, email and Sydney phone; own website visible but contact detail captured from social snippet. || Trading name: Marcobilly Photography || Direct Instagram bio/posts provide website, email and Sydney phone; own website visible but contact detail captured from social snippet. || Website, email and phone all verified from Instagram bio. Also active in HK. || Marcobilly Photography website not confidently identified within timebox; skipping to avoid incorrect match.",PHONE:reject|EMAIL:generic_pattern|IG:guessable_from_name|WEB:matches_name|SOURCES:3+,YELLOW — 3+ sources but phone flagged,
PHO-EWDIR-000022,HIGH,9,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://www.rebekahbiancastudios.com/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),askme@rebekahbiancastudios.com,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),0477 914 508,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,https://www.instagram.com/rebekahbiancastudios/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/rebekahbiancastudios/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,"81 744 263 711 [CHECKSUM_FAILS,DUPLICATE_VENDOR] from:google_deep_sweep_2",Since age 16; ABIA award winning,claude_photographers_FINAL_v2 (HIGH),Tamworth NSW; New England; Australia-wide road trips,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own contact page verifies email, phone and Tamworth home base. || Tamworth based || Own contact page verifies email, phone and Tamworth home base. || Two websites found: rebekahbiancastudios.com (main) and rebekahbiancaphotography.com (older). Travels by van. || Based in Tamworth. || Trading name: Rebekah Bianca Studios || Trading name: Rebekah Bianca. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Rebekah Bianca Studios own site not confirmed quickly (name overlap risk); skipped to avoid mis-match.",PHONE:ok|EMAIL:other|IG:guessable_from_name|WEB:matches_name|ABN:supplied_quarantined|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000023,HIGH,6,"1778160665795_photographers_enriched_batch_01_rows_001_030, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://fableweddings.com.au/,claude_photographers_FINAL_v2 (HIGH),info@fableweddingfilms.com.au,gemini_photographers_batch_01 (HIGH),0412 653 282,gemini_photographers_batch_01 (HIGH),SUSPECT — phone 0412 653 282 attributed to 3 different vendors across batches,https://www.instagram.com/fableweddingfilms/,gemini_photographers_batch_01 (HIGH),,,,,,,,,,,"28 626 052 143 [CHECKSUM_FAILS,DUPLICATE_VENDOR] from:google_deep_sweep_2",,,Sydney; worldwide,claude_photographers_FINAL_v2 (HIGH),"Not found quickly — Fable Weddings Sydney returned unrelated Fable results; no own website/social confidently verified. || Also operates as fableweddingfilms.com.au. Owned by Jonty and Sherman. No direct email/phone found in snippets. || Sydney/Destination. || Trading name: Fable Weddings || Trading name: Fable Studio Co. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Fable Weddings / Fable Wedding Films domain not clearly confirmed without deeper digging; left blank.",PHONE:reject|EMAIL:generic_pattern|IG:not_obvious|WEB:matches_name|ABN:supplied_quarantined|SOURCES:3+,YELLOW — 3+ sources but phone flagged,
PHO-EWDIR-000024,HIGH,2,"1778160890731_photographers_enriched_batch_03_rows_061_090, claude_photographers_FINAL_v2",https://www.nownalways.com.au/,claude_photographers_FINAL_v2 (HIGH),hello@nownalways.com.au,claude_photographers_FINAL_v2 (HIGH),+61 492 982 239,claude_photographers_FINAL_v2 (HIGH),,https://www.instagram.com/nownalways_wedding/,claude_photographers_FINAL_v2 (HIGH),https://www.facebook.com/NOWnAlwayswedding/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,,,Melbourne; Victoria,claude_photographers_FINAL_v2 (HIGH),No own website/social located quickly. Third-party listing indicated own website/social may exist but URLs were not exposed; no directory URLs copied. || Email and phone from Facebook page. Studio 1/41-43 Stewart St Richmond VIC 3121. 13K IG followers.,PHONE:ok|EMAIL:generic_pattern|SOURCES:2,YELLOW — 2 sources only (Claude advises caution),
PHO-EWDIR-000025,MEDIUM,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",,,,,,,,https://www.instagram.com/tc.weddings.co/,1778160890731_photographers_enriched_batch_03_rows_061_090 (MEDIUM),,,,,,,,,,,,11 years,claude_photographers_FINAL_v2 (LOW),Kew; Melbourne VIC,1778160890731_photographers_enriched_batch_03_rows_061_090 (MEDIUM),"Own Instagram handle located in search results; no own website/email/phone located quickly. || Own Instagram handle located in search results; no own website/email/phone located quickly. || Photographer: Terry Chen. 11 years, 100+ weddings. No own website identified from search. EW slug: Terrychenphotography.",SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000027,HIGH,5,"1778160665795_photographers_enriched_batch_01_rows_001_030, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, perplexity_photographers_batch_01",https://cj-picture.com/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),hello@cj-picture.com,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),0433 679 962,gemini_photographers_batch_01 (HIGH),,https://www.instagram.com/cjpicture_au/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/cjpicture.au/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,,7 years,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Sydney, Australia",1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own website/about page verifies CJ Picture identity and experience; Instagram bio verifies Sydney and email. || Own website/about page verifies CJ Picture identity and experience; Instagram bio verifies Sydney and email. || Email and website from Instagram bio. Founded by Jeff (C=Celeste/wife, J=Jeff). || Based in Sydney. || CJ Picture website/socials not clearly isolated from directories within timebox.",PHONE:ok|EMAIL:generic_pattern|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000030,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://featureweddings.com/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),contact@featureweddings.com,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),+61481 780 633,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,https://www.instagram.com/feature.weddings/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,,,,,,,Since 2013,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),Melbourne; Auckland; Brisbane; Sydney; Australia; New Zealand; Pacific Islands; Los Angeles,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),"Own website/contact page located; email, Australia line and Instagram handle found on own contact page. || Own website/contact page located; email, Australia line and Instagram handle found on own contact page. || Lead: Nayzel Sushil. Fine art photo & film. Multicultural wedding specialists. Max 20 weddings/year.",PHONE:ok|EMAIL:generic_pattern|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000032,MEDIUM,2,"1778160890731_photographers_enriched_batch_03_rows_061_090, claude_photographers_FINAL_v2",https://weddingstudio.com.au/,claude_photographers_FINAL_v2 (MEDIUM),,,,,,,,,,,,,,,,,,,24 years,claude_photographers_FINAL_v2 (MEDIUM),Melbourne; Victoria,claude_photographers_FINAL_v2 (MEDIUM),No own website or direct social located quickly. Only directory and blog/listing mentions found; no found contact fields copied. || EW lists as 'Wedding Studio Photography & Videography' Melbourne. weddingstudio.com.au appears to match. 24 years noted on EW. Needs verification.,SOURCES:2,YELLOW — 2 sources only (Claude advises caution),
